City,BroadbandCoverage,Providers
Aiea,94.40%,13
Anahola,96.20%,12
Captain Cook,98.90%,14
Eleele,99.20%,10
Ewa Beach,86.70%,13
Haiku,97.80%,12
Hakalau,68.50%,11
Haleiwa,97.30%,12
Hana,95.50%,9
Hanalei,97.30%,10
Hanapepe,95.70%,11
Hauula,97.30%,10
Hawi,97.20%,10
Hilo,96.30%,13
Holualoa,99.60%,12
Honaunau,100.00%,11
Honokaa,97.00%,11
Honolulu,89.90%,19
Hoolehua,48.20%,11
Kaaawa,89.70%,11
Kahuku,80.20%,12
Kahului,99.10%,12
Kailua,85.80%,14
Kailua Kona,99.10%,16
Kalaheo,99.30%,10
Kamuela,95.00%,15
Kaneohe,97.40%,15
Kapaa,99.30%,11
Kapaau,93.70%,13
Kapolei,94.10%,13
Kaunakakai,95.90%,12
Keaau,97.60%,13
Kealakekua,100.00%,11
Kekaha,95.30%,12
Kihei,99.90%,12
Kilauea,97.60%,11
Koloa,98.10%,11
Kualapuu,98.10%,9
Kula,96.90%,13
Kurtistown,76.60%,11
Lahaina,99.00%,13
Laie,78.60%,11
Lanai City,95.30%,9
Lawai,100.00%,10
Lihue,97.40%,12
Makawao,99.10%,12
Maunaloa,83.30%,10
Mililani,95.70%,13
Mountain View,90.00%,10
Naalehu,89.80%,11
Ocean View,86.30%,12
Paauilo,68.80%,10
Pahala,96.10%,10
Pahoa,81.90%,13
Paia,98.80%,12
Papaaloa,85.40%,10
Pearl City,88.80%,14
Pepeekeo,94.10%,12
Princeville,97.60%,11
Volcano,88.70%,12
Wahiawa,57.60%,12
Waialua,90.20%,11
Waianae,87.90%,14
Waikoloa,99.60%,12
Wailuku,99.50%,14
Waimanalo,92.40%,13
Waimea,96.80%,11
Waipahu,98.70%,15
