City,BroadbandCoverage,Providers,Latitude,Longitude
Aiea,94.40%,13,21.3858,-157.9333
Anahola,96.20%,12,22.1476,-159.3133
Captain Cook,98.90%,14,19.4953,-155.9212
Eleele,99.20%,10,21.9156,-159.5869
Ewa Beach,86.70%,13,21.3156,-158.0072
Haiku,97.80%,12,20.9247,-156.3103
Hakalau,68.50%,11,19.8953,-155.1239
Haleiwa,97.30%,12,21.5887,-158.1031
Hana,95.50%,9,20.7556,-155.9844
Hanalei,97.30%,10,22.2034,-159.5011
Hanapepe,95.70%,11,21.9126,-159.5908
Hauula,97.30%,10,21.6139,-157.9094
Hawi,97.20%,10,20.2394,-155.8378
Hilo,96.30%,13,19.7075,-155.085
Holualoa,99.60%,12,19.6195,-155.9342
Honaunau,100.00%,11,19.4174,-155.904
Honokaa,97.00%,11,20.0792,-155.4683
Honolulu,89.90%,19,21.3069,-157.8583
Hoolehua,48.20%,11,21.1524,-157.0822
Kaaawa,89.70%,11,21.5547,-157.8587
Kahuku,80.20%,12,21.6802,-157.9538
Kahului,99.10%,12,20.8895,-156.4743
Kailua,85.80%,14,21.4022,-157.7394
Kailua Kona,99.10%,16,19.6391,-155.9969
Kalaheo,99.30%,10,21.9225,-159.5258
Kamuela,95.00%,15,20.0205,-155.6691
Kaneohe,97.40%,15,21.409,-157.7986
Kapaa,99.30%,11,22.0781,-159.3389
Kapaau,93.70%,13,20.2358,-155.8008
Kapolei,94.10%,13,21.3359,-158.0608
Kaunakakai,95.90%,12,21.0956,-157.0222
Keaau,97.60%,13,19.6214,-155.0361
Kealakekua,100.00%,11,19.5403,-155.9194
Kekaha,95.30%,12,21.9697,-159.7161
Kihei,99.90%,12,20.7644,-156.445
Kilauea,97.60%,11,22.2138,-159.4033
Koloa,98.10%,11,21.9067,-159.4697
Kualapuu,98.10%,9,21.1589,-157.0269
Kula,96.90%,13,20.7981,-156.3266
Kurtistown,76.60%,11,19.5725,-155.0808
Lahaina,99.00%,13,20.8783,-156.6825
Laie,78.60%,11,21.6463,-157.9239
Lanai City,95.30%,9,20.8278,-156.9217
Lawai,100.00%,10,21.9181,-159.5114
Lihue,97.40%,12,21.9811,-159.3711
Makawao,99.10%,12,20.8561,-156.3139
Maunaloa,83.30%,10,21.1401,-157.2289
Mililani,95.70%,13,21.4513,-158.0158
Mountain View,90.00%,10,19.5389,-155.125
Naalehu,89.80%,11,19.0697,-155.5828
Ocean View,86.30%,12,19.0894,-155.7714
Paauilo,68.80%,10,20.0431,-155.3747
Pahala,96.10%,10,19.2028,-155.4797
Pahoa,81.90%,13,19.4947,-154.945
Paia,98.80%,12,20.9031,-156.3697
Papaaloa,85.40%,10,20.0078,-155.2428
Pearl City,88.80%,14,21.3972,-157.9753
Pepeekeo,94.10%,12,19.8322,-155.1042
Princeville,97.60%,11,22.2235,-159.4852
Volcano,88.70%,12,19.4269,-155.2386
Wahiawa,57.60%,12,21.5021,-158.0236
Waialua,90.20%,11,21.5739,-158.1317
Waianae,87.90%,14,21.4472,-158.1833
Waikoloa,99.60%,12,19.9256,-155.8828
Wailuku,99.50%,14,20.8911,-156.5025
Waimanalo,92.40%,13,21.3312,-157.7111
Waimea,96.80%,11,20.0219,-155.6714
Waipahu,98.70%,15,21.3867,-158.0092
